:table JokerEffect(key="owner,order")	조커가 하는 일입니다. 조커 하나가 행 여러 개를 가집니다.
:field	owner	order	trigger	chance_num	chance_den	first_only	ranks	suits	scope	scope_count	condition.$type	condition.hand	condition.suit	condition.enhancement	condition.seal	condition.edition	condition.blind	condition.consumable	condition.target	condition.counter	condition.consume	condition.n	condition.compare	condition.num	condition.den	operation.$type	operation.chips	operation.mult	operation.money	operation.cap	operation.unit	operation.mode	operation.value	operation.base_value	operation.min	operation.max	operation.times	operation.counter	operation.step	operation.init	operation.floor	operation.reset	operation.hand_pick	operation.levels	operation.create	operation.count	operation.card_class	operation.edition	operation.rarity	operation.enhancement	operation.seal	operation.suit	operation.modify	operation.trait	operation.debuff	operation.pick	operation.rule	operation.absolute	operation.duration	operation.free	operation.random	operation.ref_id	operation.handler
:type	foreign Joker	int (min=0, max=15)	Trigger	int?	int?	bool?	RankKind[]?	SuitKind[]?	Scope	int?	Condition															Operation																																					
:desc	이 효과를 가진 것	같은 소유자 안의 순서	언제 보는가	확률의 분자	확률의 분모	조건을 만족한 첫 대상만	어느 랭크들인가	어느 무늬들인가	누구에게	대상 개수	무엇이 참이어야 하는가															무엇을 하는가																																					
	twig	0	OnHandPlayed	-	-	-	-	-	Run	-	CondAlways															OpAddMult		40000																																			
	quartz_bloom	0	OnCardScored	-	-	-	-	-	Run	-	CondCardSuit		Diamond													OpAddMult		30000																																			
	poppy_bloom	0	OnCardScored	-	-	-	-	-	Run	-	CondCardSuit		Heart													OpAddMult		30000																																			
	nettle_bloom	0	OnCardScored	-	-	-	-	-	Run	-	CondCardSuit		Spade													OpAddMult		30000																																			
	clover_bloom	0	OnCardScored	-	-	-	-	-	Run	-	CondCardSuit		Club													OpAddMult		30000																																			
	warbler	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	Pair														OpAddMult		80000																																			
	starling	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	ThreeOfAKind														OpAddMult		120000																																			
	magpie	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	TwoPair														OpAddMult		100000																																			
	swallow	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	Straight														OpAddMult		120000																																			
	finch	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	Flush														OpAddMult		100000																																			
	cricket	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	Pair														OpAddChips	50																																				
	mantis	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	ThreeOfAKind														OpAddChips	100																																				
	beetle	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	TwoPair														OpAddChips	80																																				
	centipede	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	Straight														OpAddChips	100																																				
	firefly	0	OnHandPlayed	-	-	-	-	-	Run	-	CondHandContains	Flush														OpAddChips	80																																				
	half_pot	0	OnHandPlayed	-	-	-	-	-	Run	-	CondCardCount											3	AtMost			OpAddMult		200000																																			
