:table SoundCue(key=cue_id)	소리 하나입니다. 음높이가 값을 따라가는 것과 그렇지 않은 것이 갈립니다.
:field	cue_id	note	pitch_follows_value	gain
:type	string (regex="^[a-z][a-z0-9_]*$")	string	bool	float (min=0, max=4)
:desc	식별자	언제 나는가	음높이가 값을 따라가는가	이 소리의 크기. 다 같은 크기로 맞춘 다음 곱합니다
	card_chip	카드의 칩이 더해질 때	true	0.9
	card_mult	카드의 배수가 더해질 때	true	1.0
	joker_add	조커가 가산할 때	false	1.0
	joker_mul	조커가 곱할 때	true	1.0
	joker_money	조커가 돈을 줄 때	false	1.0
	joker_fizzle	조커의 확률이 빗나갔을 때	false	1.0
	retrigger	재발동할 때	false	0.8
	score_count	점수를 세는 동안	true	0.7
	score_settle	점수가 확정될 때	false	1.4
	blind_clear	요구 점수를 넘겼을 때	false	1.6
	blind_fail	넘기지 못했을 때	false	1.5
	card_draw	카드를 뽑을 때	false	0.8
	card_select	카드를 고를 때	false	0.8
	card_destroy	카드가 파괴될 때	false	1.0
	shop_enter	상점에 들어갈 때	false	1.0
	shop_buy	무언가를 살 때	false	1.0
	shop_reroll	리롤할 때	false	1.0
	boss_reveal	보스가 나타날 때	false	1.5
	run_win	승리할 때	false	1.8
	run_lose	패배할 때	false	1.6
	card_place	카드를 손패 자리에 놓을 때	false	1.0
	card_slam	낸 카드가 판에 붙을 때	false	1.3
	card_flip	뒷면이 앞면으로 뒤집힐 때	false	1.0
	coin_land	동전이 꽂힐 때	true	1.0
	coin_lose	돈이 나갈 때	false	1.0
	joker_buy	조커를 살 때	false	1.0
	joker_sell	조커를 팔 때	false	1.0
	joker_burn	조커가 타 사라질 때	false	1.0
	joker_move	조커의 자리를 바꿀 때	false	0.7
	consumable_use	소모품을 쓸 때	false	1.0
	pack_open	팩을 뜯을 때	false	1.3
	pack_pick	팩에서 고를 때	false	1.0
	voucher_buy	바우처를 살 때	false	1.0
	blind_select	블라인드를 고를 때	false	1.0
	blind_skip	블라인드를 건너뛸 때	false	1.0
	button	버튼을 누를 때	false	0.7
	panel_open	판이 뜰 때	false	0.6
	panel_close	판이 닫힐 때	false	0.6
